image_id,category,siglip,hyperiqa,mllm,vl,frontier,spread,ood_classification,ensemble_mean,siglip_normalized,hyperiqa_normalized,mllm_normalized,vl_normalized,frontier_normalized
ood_0000,arabic_cursive_blur,3.05790599297899,1.4874585934279096,2.6462222772145165,2.117472159027769,3.090792126129828,0.5472962697705072,strong_ood,-0.43295181662861487,0.05629836564682165,-1.2227948650817975,-0.36061913555104586,-0.7084572414339323,0.07081379327687971
ood_0001,arabic_cursive_blur,2.131363244415389,1.1061637468421612,2.308542950649888,1.3134298322249407,2.9133479707244483,0.5949236255490603,strong_ood,-0.8761454955967529,-0.7208785108165953,-1.5412965148671198,-0.6490932629796865,-1.3895781021544054,-0.07988108716595738
ood_0002,arabic_cursive_blur,4.040965997798947,5.0,4.5744366895118045,5.0,4.38526543342826,0.3652887685634673,strong_ood,1.356466478038311,0.8808814786294838,1.7112868382251325,1.286624051473997,1.7333916247827792,1.1701483970801625
ood_0003,arabic_cursive_blur,3.119617387349417,1.6887243977964248,1.8346033201372953,3.2802680016490693,2.3877307783358357,0.6276081331208203,strong_ood,-0.4500553975113631,0.10806140495975437,-1.0546743375930372,-1.053972420838957,0.2765711317833244,-0.5262627658678997
ood_0004,arabic_cursive_blur,4.181669000812066,4.538105214439325,3.7781149221756225,4.6629988196687355,5.0,0.42170613725287587,strong_ood,1.2141647892583751,0.9989020670591954,1.3254587774851914,0.6063389143239971,1.4479109649227728,1.6922132225007191
ood_0005,arabic_cursive_blur,4.268627655393745,1.9397079374122876,2.301467300486471,2.6492394531641037,2.619882888916547,0.7517932835291964,strong_ood,-0.2030825135064597,1.0718423125621919,-0.84502379509971,-0.6551378794140045,-0.25798618411364094,-0.32910702146713494
ood_0006,arabic_cursive_blur,2.510474342806406,1.0,1.2692396641947004,1.5693131970430279,2.5882113300599587,0.6091773785702211,strong_ood,-1.019726342549109,-0.4028830597303784,-1.6299767811214279,-1.5369536829349408,-1.1728140191216396,-0.3560041698371576
ood_0007,arabic_cursive_blur,4.95085372265083,3.950914986482672,5.0,4.782164995032918,4.588928506125143,0.3415890431232622,strong_ood,1.40424052452564,1.6440882502857952,0.8349694409083469,1.650176081465475,1.548859093183094,1.3431097567854884
ood_0008,arabic_cursive_blur,1.1996284934497323,1.174299277182334,1.0,1.1688079145889305,1.1604827891025644,0.11618863182415205,in_distribution_like,-1.5668699053811221,-1.5024103986550146,-1.4843818226894943,-1.7669608852943703,-1.5120903154242926,-1.5685061048424398
ood_0009,arabic_cursive_blur,1.366182961685512,1.0,1.5242727186056428,1.5638705471163938,1.0670227081563388,0.2049714699147322,in_distribution_like,-1.4274134904473663,-1.3627058015544704,-1.6299767811214279,-1.3190829634416144,-1.1774246002801838,-1.6478773058391356
ood_0010,arabic_cursive_blur,1.841139511226653,2.394221515887756,2.683852082941489,2.552049231276773,3.0146791645320237,0.3516663703606465,strong_ood,-0.4184586482335154,-0.9643159288794394,-0.46536137403493494,-0.32847258550063846,-0.34031802831983027,0.006174675567265784
ood_0011,arabic_cursive_blur,2.653251324395004,4.200634842307092,4.391029662360214,4.307139646315579,4.542241780848833,0.6503237640240808,strong_ood,0.8680600287954823,-0.283122834145617,1.0435644082319973,1.1299423183631907,1.1464553097044918,1.3034609418233487
ood_0012,arabic_cursive_blur,1.8356537602600858,3.121105913424323,2.4415886078598987,1.1282098979943915,1.7927959055225267,0.6315996504531828,strong_ood,-0.7881058903261972,-0.9689173342736993,0.14181672420495842,-0.5354344545998898,-1.5464817337422458,-1.0315126532201095
ood_0013,arabic_cursive_blur,1.2702352086731201,1.0,1.8206393734266304,1.1156841806210107,1.08164955461381,0.2369071861848938,in_distribution_like,-1.4663224726557038,-1.443186033152479,-1.6299767811214279,-1.0659016004656765,-1.557092527619756,-1.63545542091918
